요청년월,신청구분코드,신청구분명,접수건수
2025-04-19,454,연금수급자정보변경,28
2025-04-19,459,연금수급증발급,58
2025-04-19,999,미구분,6
2025-05-19,454,연금수급자정보변경,22
2025-05-19,457,연금수급자신분변동,1
2025-05-19,459,연금수급증발급,39
2025-05-19,999,미구분,9
2025-06-19,454,연금수급자정보변경,15
2025-06-19,459,연금수급증발급,13
2025-06-19,999,미구분,4
2025-07-19,454,연금수급자정보변경,23
2025-07-19,459,연금수급증발급,11
2025-07-19,999,미구분,4
2025-08-19,454,연금수급자정보변경,13
2025-08-19,459,연금수급증발급,21
2025-08-19,999,미구분,3
2025-09-19,454,연금수급자정보변경,31
2025-09-19,457,연금수급자신분변동,1
2025-09-19,459,연금수급증발급,49
2025-09-19,999,미구분,13
2025-10-19,454,연금수급자정보변경,23
2025-10-19,457,연금수급자신분변동,1
2025-10-19,459,연금수급증발급,30
2025-10-19,999,미구분,11
2025-11-19,454,연금수급자정보변경,17
2025-11-19,459,연금수급증발급,27
2025-11-19,999,미구분,13
2025-12-19,454,연금수급자정보변경,24
2025-12-19,459,연금수급증발급,30
2025-12-19,999,미구분,97
2025-01-20,454,연금수급자정보변경,22
2025-01-20,459,연금수급증발급,27
2025-01-20,999,미구분,21
2025-02-20,454,연금수급자정보변경,26
2025-02-20,459,연금수급증발급,26
2025-02-20,999,미구분,11
2025-03-20,454,연금수급자정보변경,44
2025-03-20,459,연금수급증발급,93
2025-03-20,999,미구분,18
2025-04-20,454,연금수급자정보변경,30
2025-04-20,459,연금수급증발급,30
2025-04-20,999,미구분,11
2025-05-20,454,연금수급자정보변경,35
2025-05-20,459,연금수급증발급,23
2025-05-20,999,미구분,10
2025-06-20,454,연금수급자정보변경,27
2025-06-20,457,연금수급자신분변동,1
2025-06-20,459,연금수급증발급,21
2025-06-20,999,미구분,3
2025-07-20,454,연금수급자정보변경,23
2025-07-20,459,연금수급증발급,30
2025-07-20,999,미구분,13
2025-08-20,454,연금수급자정보변경,33
2025-08-20,459,연금수급증발급,16
2025-08-20,999,미구분,16
2025-09-20,454,연금수급자정보변경,40
2025-09-20,459,연금수급증발급,37
2025-09-20,999,미구분,15
2025-10-20,454,연금수급자정보변경,25
2025-10-20,459,연금수급증발급,35
2025-10-20,999,미구분,8
2025-11-20,454,연금수급자정보변경,23
2025-11-20,459,연금수급증발급,18
2025-11-20,999,미구분,12
2025-12-20,454,연금수급자정보변경,30
2025-12-20,459,연금수급증발급,25
2025-12-20,999,미구분,99
2025-01-21,454,연금수급자정보변경,26
2025-01-21,459,연금수급증발급,20
2025-01-21,999,미구분,27
2025-02-21,454,연금수급자정보변경,24
2025-02-21,457,연금수급자신분변동,1
2025-02-21,459,연금수급증발급,29
2025-02-21,999,미구분,12
2025-03-21,454,연금수급자정보변경,74
2025-03-21,457,연금수급자신분변동,4
2025-03-21,459,연금수급증발급,85
2025-03-21,999,미구분,24
2025-04-21,454,연금수급자정보변경,23
2025-04-21,459,연금수급증발급,26
2025-04-21,999,미구분,3
2025-05-21,454,연금수급자정보변경,28
2025-05-21,459,연금수급증발급,31
2025-05-21,999,미구분,10
2025-06-21,454,연금수급자정보변경,20
2025-06-21,459,연금수급증발급,18
2025-06-21,999,미구분,4
2025-07-21,454,연금수급자정보변경,20
2025-07-21,459,연금수급증발급,26
2025-07-21,999,미구분,10
2025-08-21,454,연금수급자정보변경,37
2025-08-21,459,연금수급증발급,18
2025-08-21,999,미구분,11
2025-09-21,454,연금수급자정보변경,28
2025-09-21,459,연금수급증발급,27
2025-09-21,999,미구분,21
2025-10-21,454,연금수급자정보변경,30
2025-10-21,459,연금수급증발급,33
