복원_요청연월,신청구분코드,신청구분명,접수건수
2015-11-01,459,연금수급증발급,16
2015-11-01,999,미구분,11
2015-12-01,454,연금수급자정보변경,9
2015-12-01,459,연금수급증발급,21
2015-12-01,999,미구분,61
2016-01-01,454,연금수급자정보변경,12
2016-01-01,458,연금지급정지조정신청,1
2016-01-01,459,연금수급증발급,16
2016-01-01,999,미구분,4
2016-02-01,454,연금수급자정보변경,12
2016-02-01,459,연금수급증발급,17
2016-02-01,999,미구분,4
2016-03-01,454,연금수급자정보변경,21
2016-03-01,459,연금수급증발급,38
2016-03-01,999,미구분,7
2016-04-01,454,연금수급자정보변경,12
2016-04-01,458,연금지급정지조정신청,1
2016-04-01,459,연금수급증발급,34
2016-04-01,999,미구분,1
2016-05-01,454,연금수급자정보변경,18
2016-05-01,459,연금수급증발급,23
2016-06-01,454,연금수급자정보변경,15
2016-06-01,459,연금수급증발급,11
2016-07-01,454,연금수급자정보변경,12
2016-07-01,457,연금수급자신분변동,1
2016-07-01,459,연금수급증발급,15
2016-07-01,999,미구분,3
2016-08-01,454,연금수급자정보변경,15
2016-08-01,459,연금수급증발급,11
2016-09-01,454,연금수급자정보변경,13
2016-09-01,457,연금수급자신분변동,1
2016-09-01,459,연금수급증발급,32
2016-09-01,999,미구분,3
2016-10-01,454,연금수급자정보변경,13
2016-10-01,459,연금수급증발급,16
2016-10-01,999,미구분,5
2016-11-01,454,연금수급자정보변경,5
2016-11-01,459,연금수급증발급,8
2016-11-01,999,미구분,3
2016-12-01,454,연금수급자정보변경,15
2016-12-01,459,연금수급증발급,21
2016-12-01,999,미구분,68
2017-01-01,454,연금수급자정보변경,14
2017-01-01,458,연금지급정지조정신청,3
2017-01-01,459,연금수급증발급,22
2017-01-01,999,미구분,7
2017-02-01,454,연금수급자정보변경,7
2017-02-01,459,연금수급증발급,15
2017-02-01,999,미구분,2
2017-03-01,453,청산일시금,1
2017-03-01,454,연금수급자정보변경,30
