검색순위,데이터ID,데이터명,설명,키워드,수정일,조회수,다운로드,대분류,현재연구관련성,공식URL,공식존재여부,제공기관판정,데이터명판정,설명판정,키워드판정,수정일판정,종합검증판정,검증일,검증비고
1,15081297,사립학교교직원연금공단_전자도서 보유 현황,"사립학교교직원연금공단 전자도서 보유 현황과 관련된 데이터로 번호, 상품종류, 상품번호, 제목, 출판사명, 저자명, 대분류, 중분류, 상세분류, 주문 차수, 보유 종수 등의 항목을 제공합니다","전자도서,도서관,ebook,자료보유현황,도서목록,공공도서관,독서콘텐츠,온라인열람",2026-07-07,"1,822건","19,074건",법령·콘텐츠·기타,보조검토,https://www.data.go.kr/data/15081297/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
2,15065194,사립학교교직원연금공단_사학연금 통계연보,"사립학교교직원연금공단 통계연보와 관련된 데이터로 학교기관, 가입 교직원, 퇴직 교직원, 부담금(수입), 급여(지출), 대여사업, 자산운용, 기타 등의 항목을 제공합니다.","직역연금,통계,연보,연금통계,가입자현황,퇴직자현황,연금수급자현황,자산운용현황",2025-09-03,"15,771건",753건,법령·콘텐츠·기타,검토대상,https://www.data.go.kr/data/15065194/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
3,15045816,사립학교교직원연금공단_사학연금수급자 현황(재직기간별 연령별 퇴직연금수급자),"사립학교교직원연금공단 사학연금수급자 현황 (재직기간별, 연령별 퇴직연금수급자) 데이터는 연금수급자 중 퇴직연금을 받는 수급자들의 수를 재직기간별(21년미만 ~ 33년 이상) 연령(50세","직역연금,연금수급자,연령별퇴직연금수급자,재직기간별 통계,연령별통계,수급자 정보",2026-07-08,"12,978건","2,897건",퇴직·급여,검토대상,https://www.data.go.kr/data/15045816/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
4,15020810,사립학교교직원연금공단_지부 및 상담센터 운영 현황,사립학교교직원연금공단 지부 및 상담센터 운영 현황 데이터는 공단에서 운영중인 지부 및 상담센터에 대한 정보를 제공합니다.,"사학연금,지부,상담,콜센터,지역별 서비스,민원 안내,연금 상담,고객 지원",2026-06-23,"10,434건","1,632건",고객·디지털·VOC,보조검토,https://www.data.go.kr/data/15020810/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
5,15045813,사립학교교직원연금공단_사학연금수급자 평균연금월액(유족연금),"사립학교교직원연금공단 사학연금수급자 평균연금월액(유족연금) 데이터는 연금수급자 중에서 유족연금을 수급받는 사람들의 연령별 수와 평균연금월액을 교직원(교원, 사무직원) 항목으로 구분하여","연령별,성별,평균연급월액,연령별 통계,교직원별 통계,연금수급자,연금 통계",2026-07-08,"8,146건","1,589건",연금수급자,검토대상,https://www.data.go.kr/data/15045813/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
6,15081273,사립학교교직원연금공단_법령조항,사립학교교직원 연금법(이하 '사학연금법')상 퇴직급여 산정의 기초가 되는 조문 정보를 제공하고 있습니다.,"법령,조항,적용,퇴직연금 산식,급여산정,법률 정보",2026-07-16,"7,180건",968건,법령·콘텐츠·기타,검토대상,https://www.data.go.kr/data/15081273/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
7,15065174,사립학교교직원연금공단_기준소득월액 상한액,"소득월액이란 일정기간 재직하고 얻은 소득에서 비과세소득을 제외한 금액의 연지급합계액을 12개월로 평균한 금액이며, 시작년월, 종료년월과 교직원의 연금및부담금기준소득월액, 교원상한가,","직원상한가,교원상한가,소득월액,비과세소득,시작년월,소득합계액",2026-06-24,"8,181건","1,437건",가입·재직·기관,보조검토,https://www.data.go.kr/data/15065174/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
8,15045812,사립학교교직원연금공단_사학연금수급자 평균연금월액(퇴직연금),"사립학교교직원연금공단 사학연금수급자 평균연금월액(퇴직연금) 데이터는 연금수급자 중에서 퇴직연금을 수급받는 사람들의 연령별 수와 평균연금월액을 교직원(교원, 사무직원) 항목으로 구분하여","연령별,성별,평균연금월액,연금수급자,교직원별 통계,연금 통계",2026-06-24,"5,948건","1,622건",퇴직·급여,검토대상,https://www.data.go.kr/data/15045812/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
9,15045820,사립학교교직원연금공단_사학연금수급자 현황(연도별 연금수급자 및 연금액),"사립학교교직원연금공단 사학연금수급자 현황(연도별 연금수급자 및 연금액) 데이터는 연금수급자의 현황을 나타내는 데이터로 연금 종류별(퇴직연금, 유족연금, 장해연금, 장해유족연금, 연게퇴직연금","연도별,연금별,평균연금액,연금종류별 통계,수급자 수,수급자 통계",2026-07-08,"6,912건","1,549건",연금수급자,검토대상,https://www.data.go.kr/data/15045820/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
10,15012436,사립학교교직원연금공단_교직원 퇴직급여 지급 현황,"사학연금 교직원 퇴직급여 지급 현황과 관련된 데이터로 연도, 급여종류별(퇴직연금,퇴직연금 공제일시금,퇴직연금 일시금,퇴직 일시금,연계연금) 건수와 금액정보 등의 항목을 제공합니다.","교직원,퇴직금,퇴직급여,지급현황,연금기금,급여 현황,연금 수급",2026-07-08,"6,798건","2,256건",퇴직·급여,검토대상,https://www.data.go.kr/data/15012436/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
11,15102549,사립학교교직원연금공단_연금수급자 연금수령기간 현황,사립학교교직원연금공단 연금수급자 연금수령기간 현황 데이터는 연금 수급자의 급여 종류별 연금 수령 기간을 구간별로 분류하여 제공합니다.,"수급자,연금수령,기간,급여종류별 수급자,수급기간 통계,급여 종류별 통계,연금 지급",2026-07-08,"6,235건",682건,연금수급자,검토대상,https://www.data.go.kr/data/15102549/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
12,15045873,사립학교교직원연금공단_제휴복지 서비스 현황,"사립학교교직원연금공단 제휴복지 서비스 현황과 관련된 데이터로 카테고리별 세부항목, 제휴업체 등 교직원이 받을 수 있는 제휴 복지 서비스 현황 정보를 제공하고 있습니다.","복지서비스,업체수,업체명,제휴복지,제휴현황,서비스목록",2026-07-07,"5,404건","1,477건",대여·복지·재해보상,보조검토,https://www.data.go.kr/data/15045873/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
13,15045860,사립학교교직원연금공단_해외 대체투자 현황,"사립학교교직원연금기금의 해외 대체투자 현황(투자분야, 투자자산, 평가액, 투자처)에 관한 정보로 평가액 기준 상위 5개의 해외 대체투자 현황에 관한 자료입니다.","해외대체투자,기금운용,투자현황,평가액,투자처",2026-07-08,"5,312건","1,749건",기금·투자·재무,보조검토,https://www.data.go.kr/data/15045860/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
14,15045817,사립학교교직원연금공단_사학연금수급자 현황(학교급별 직종별),"사립학교교직원연금공단 사학연금수급자 현황(학교급별, 직종별) 데이터는 재직기간에 따른 직종별 연금수급자 수를 제공합니다.","직역연금,교직원,수급자,학교급별 통계,직종별 통계,연단위 통계,연금 통계",2026-07-09,"4,953건","1,457건",연금수급자,검토대상,https://www.data.go.kr/data/15045817/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
15,15065012,사립학교교직원연금공단_연금부담률,"사립학교교직원연금공단 연금부담률과 관련된 데이터로 연도, 개인 연금부담금(%), 법인 연금부담금(%), 국가 연금부담금(%) 등의 항목을 제공합니다. 2020. 01. 01.","국가별,연도별,연금부담금,개인연금부담률,법인연금부담률,국가연금부담금,연금기금",2026-06-25,"4,287건","1,025건",가입·재직·기관,보조검토,https://www.data.go.kr/data/15065012/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
16,15064973,사립학교교직원연금공단_용어사전,"사립학교교직원 연금제도 및 공적연금 제도 관련 ㄱ기관의 업무, 제도, 서비스 등과 관련된 주요 용어에 대한 정보를 제공하고 있습니다.","직역연금,용어별설명,영어번역,사학연금제도,가입자,퇴직급여,재해보상,전문용어",2025-08-25,"5,948건","1,292건",법령·콘텐츠·기타,검토대상,https://www.data.go.kr/data/15064973/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
17,15065014,사립학교교직원연금공단_공공데이터 목록,"사립학교교직원연금공단 공공데이터 목록과 관련된 데이터로 순번, 목록명, 목록등록일, 목록수정일, 공공데이터설명, 키워드, 중점데이터, 구분, 유형, 기관명, 분류체계, 등록유형, 파일데이터등록일","목록,기관정보,공공데이터,공공 정보,데이터 개방,정보 목록,대국민 공개",2025-06-15,"4,092건","2,216건",법령·콘텐츠·기타,검토대상,https://www.data.go.kr/data/15065014/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
18,15045826,사립학교교직원연금공단_국내 주식 투자 정보,"사립학교교직원연금공단 국내주식(직접운용) 상위5개 투자종목 현황과 관련된 데이터로 번호, 유가증권명, 평가기준일자, 평가금액(억 원), 투자비율(%)에 해당하는 정보를 제공합니다.","국내주식투자,주식,사학연금기금,주식투자,국내주식",2026-07-09,"5,304건","1,485건",기금·투자·재무,보조검토,https://www.data.go.kr/data/15045826/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
19,15045821,사립학교교직원연금공단_사학연금수급자 현황(퇴직연금수급자 연금지급개시연령),"사립학교교직원연금공단 사학연금수급자 현황(퇴직연금수급자 연금지급개시연령)과 관련된 데이터는 학교급별(유치원, 초등학교, 중학교, 고등학교, 전문대학교, 대학교, 특수학교, 법인),","직역연금,연금수급자,연금지급개시연령,학교급별통계,교직원별 통계,연령별통계,연금 통계",2026-07-09,"5,458건","1,244건",퇴직·급여,검토대상,https://www.data.go.kr/data/15045821/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
20,15045862,사립학교교직원연금공단_국가부담금 현황,"사립학교교직원연금공단 연금기금에 포함된 국가부담금 현황과 관련된 데이터로 연도, 국가부담금, 국고보조금 등의 항목을 제공합니다.","국가부담금,국고보조금,직역연금,연금기금,연금부담액,기금운용,재정 안정성",2026-07-08,"4,251건","1,314건",가입·재직·기관,보조검토,https://www.data.go.kr/data/15045862/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
21,15045818,사립학교교직원연금공단_사학연금수급자 현황(퇴직연금수급자 평균연금월액),"사립학교교직원연금공단 사학연금수급자 현황(퇴직연금수급자 평균연금월액) 데이터는 학교급별(유치원, 초등학교, 중학교, 고등학교, 전문대학교, 대학교, 특수학교, 법인), 교직원별(교원","직역연금,연금수급자,평균연금월액,학교급별 통계,성별 통계,연령별 통계",2026-07-08,"4,813건","1,372건",퇴직·급여,검토대상,https://www.data.go.kr/data/15045818/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
22,15062409,사립학교교직원연금공단_행복나눔대여 현황,"사립학교교직원연금공단 행복나눔대여 현황과 관련 된 데이터로 행복나눔대여 11종(신혼, 미취학자녀, 3자녀이상양육, 든든(장애), 한부모가정, 노부모부양, 육아휴직, 질병휴직, 다문화가정","행복나눔대여,대여,사학연금,평균대여액,집행실적,취약계층,사회적배려대상,제도개선",2026-07-03,"4,595건",990건,대여·복지·재해보상,보조검토,https://www.data.go.kr/data/15062409/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
23,15065010,사립학교교직원연금공단_기준소득월액,"교직원 기준소득월액과 관련된 데이터로 기간별 (1~33년), 학교급별(유치원, 초등학교, 중학교, 고등학교, 전문대학교, 대학교, 특수학교) 교원, 사무직원 별 성별 데이터를 제공합니다","학교급별 현황,성별 현황,비과세소득,연지급합계액,재직자 소득,소득정보",2026-07-08,"5,695건","1,043건",가입·재직·기관,보조검토,https://www.data.go.kr/data/15065010/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
24,15045828,사립학교교직원연금공단_해외주식 위탁운용사 현황,사학연금 가입자 및 기타 이해관계자를 대상으로 사립학교교직원연금기금의 운용 현황에 관한 정보를 투명하게 공개하고자 사립학교교직원연금공단의 연도별 해외주식 위탁운용사 선정과 관련된 현황,"사학연금,해외주식,위탁운용사,사립학교교직원연금기금,운용사 선정,해외주식 운용 현황,위탁 관리",2026-07-07,"4,576건","1,115건",기금·투자·재무,보조검토,https://www.data.go.kr/data/15045828/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
25,15045815,사립학교교직원연금공단_사학연금수급자 현황(연령별 학교급별 퇴직연금수급자),"사립학교교직원연금공단 사학연금수급자 현황(연령별, 학교급별 퇴직연금수급자) 데이터는 학교급별(유치원, 초등학교, 중학교, 고등학교, 전문대학교, 대학교, 특수학교, 법인), 교직원별","직역연금,연금수급자,학교급별퇴직연금수급자,연령별통계,학교급별 통계,교직원별 통계,연금 통계",2026-07-09,"4,591건","1,090건",퇴직·급여,검토대상,https://www.data.go.kr/data/15045815/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
26,15081296,사립학교교직원연금공단_연금법 적용기관 현황,"사립학교교직원의 연금법 적용기관 현황과 관련된 데이터로 학교명, 기관명, 학교급(유치원, 초등학교, 중학교, 고등학교, 전문대학, 대학교, 법인, 특수학교), 소재지역(강원, 경기,","연금법,적용,기관,주소,지역,학교급",2026-07-08,"4,366건","2,718건",가입·재직·기관,보조검토,https://www.data.go.kr/data/15081296/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
27,15065016,사립학교교직원연금공단_채용공고,"사립학교교직원연금공단 채용공고 데이터는 ‘채용공고명, 채용인원, 접수시작기간, 접수마감기간’ 항목으로 구성되어 최근 7개년간의 공고를 연도별로 정리한 데이터입니다.","직역연금,채용,채용인원,취업정보,채용정보,구인공고,입사지원",2026-07-09,"3,622건","1,016건",기관운영·ESG,보조검토,https://www.data.go.kr/data/15065016/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
28,15064951,사립학교교직원연금공단_브로슈어,"사립학교교직원연금공단 브로슈어와 관련된 자료로 사학연금 가입자수, 연금수급자수, 연금지급 내역, 기금운영 누적 수익금, 생애주기, 사학연금역사, 사학연금 업부 내용 등 다양한 내용으로","브로슈어제목,홍보,홈페이지,소식,브로슈어영문,브로슈어국문",2025-06-05,"3,521건",922건,법령·콘텐츠·기타,검토대상,https://www.data.go.kr/data/15064951/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
29,15048977,사립학교교직원연금공단_지역별 가입 교직원 수,"사립학교교직원의 지역별 가입 교직원 수 현황을 나타내고 있는 데이터로 지역별(서울, 경기, 인천, 충남, 충북, 영남, 전남, 전북, 제주), 학교급별(유치원, 초등학교, 중학교,","학교급별,지역별,가입,사립학교직원,재직기간,회원 통계",2026-06-24,"3,764건","1,197건",가입·재직·기관,보조검토,https://www.data.go.kr/data/15048977/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
30,15065015,사립학교교직원연금공단_자주묻는연금질문,"사립학교교직원연금공단 자주묻는연금질문과 관련된 데이터로 연금 (부담금, 급여, 재직기간 등) 관련 질문에 대한 답변을 보여주고 있습니다.","자주묻는질문,질의응답,연금질문,질문답변,민원지식",2025-09-02,"3,030건","1,382건",법령·콘텐츠·기타,보조검토,https://www.data.go.kr/data/15065015/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
31,15045827,사립학교교직원연금공단_국내주식 위탁운용사 현황,"사립학교교직원연금공단 국내주식 위탁운용사 현황과 관련된 데이터로 위탁업체명, 기준일자, 위탁내용, 위탁시작일자의 항목을 제공합니다.","사학연금기금,국내주식,위탁운용사,위탁투자,기금 관리,금융 기관",2026-07-08,"4,168건","1,251건",기금·투자·재무,보조검토,https://www.data.go.kr/data/15045827/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
32,15064925,사립학교교직원연금공단_공지사항,"사립학교교직원연금공단 공지사항과 관련된 데이터로 번호, 제목, 등록일시, 부서명, 파일 등의 항목을 제공합니다.","공지,홈페이지,파일,알림게시,정보공유",2026-07-07,"3,231건","1,092건",법령·콘텐츠·기타,검토대상,https://www.data.go.kr/data/15064925/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
33,15045814,사립학교교직원연금공단_사학연금수급자 현황(유족연금수급자),사립학교교직원연금공단 사학연금수급자 현황(유족연금수급자) 데이터는 연금수급자 중 유족연금을 받는 수급자들의 수를 재직기간별(21년미만 ~ 33년 이상) 연령(37세 미만~95세 이상,"연령별,성별,평균연금액월,재직기간별 통계,연령별통계,연금 통계",2026-06-24,"3,927건","1,042건",연금수급자,검토대상,https://www.data.go.kr/data/15045814/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
34,15081281,사립학교교직원연금공단_연금법령 및 제규정,"사립학교교직원연금공단의 연금 관련 법령과 제규정을 종합적으로 제공합니다. 연금 제도 운영의 근거가 되는 법률, 시행령, 시행규칙 및 공단 내부 규정 등을 포함하고 있습니다.","연금법,시행령,정관,연금제,법규정,법령",2025-06-14,"4,291건",189건,법령·콘텐츠·기타,보조검토,https://www.data.go.kr/data/15081281/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
35,15065009,사립학교교직원연금공단_경영공시,"사립학교교직원연금공단 경영공시(통합공시, 자율공시)와 관련된 데이터로 대항목, 항목, 세항목, 공시유형, 주관부서 등의 항목을 제공합니다.","사학연금,주관부서,공시유형,통합공시,자율공시",2026-06-29,"3,494건",923건,법령·콘텐츠·기타,보조검토,https://www.data.go.kr/data/15065009/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
36,15045807,사립학교교직원연금공단_재직기간별 학교급별 교원 퇴직 현황,"사립학교교직원연금공단에서 제공하는 재직기간별 연령별 교직원 퇴직 수와 관련된 데이터로, 연령별(25세미만~66세이상), 재직기간별(1년미만~33년이상) 학교급별(유치원,중학교,고등학교","교직원,퇴직자,재직기간,학교 유형,교원통,인구 통계",2026-07-08,"3,950건","1,171건",퇴직·급여,검토대상,https://www.data.go.kr/data/15045807/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
37,15065161,사립학교교직원연금공단_보도자료,"사립학교교직원연금공단 보도자료와 관련된 데이터로 순번, 제목, 등록일시, 기사제공처, 조회건수, 부서명, 첨부파일 등의 항목을 제공합니다.","기사,부서,첨부파일번호,언론보도,미디어자료",2026-07-07,"2,572건","1,486건",법령·콘텐츠·기타,보조검토,https://www.data.go.kr/data/15065161/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
38,15048976,사립학교교직원연금공단_지역별 퇴직 교직원 수,"사립학교 교직원들의 퇴직 현황을 지역별, 학교급별(유치원, 초등학교, 중학교, 고등학교, 전문대, 대학교, 특수학교, 법인), 성별로 세분화하여 제공하는 데이터입니다.","학교급별,지역별,퇴직,퇴직교직원,성,지역 분포,인구 통계",2026-06-24,"3,157건","1,245건",퇴직·급여,검토대상,https://www.data.go.kr/data/15048976/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
39,15045863,사립학교교직원연금공단_국가위탁사업 사업비 등 현황,"사립학교교직원연금공단 국가위탁사업 사업비 등 현황과 관련된 데이터로 국가위탁사업 사업비, 국가위탁사업 연금기금차입금상환금, 퇴직수당국가위탁사업 국가부담금 등의 항목을 제공합니다.","국가부담금,국가위탁사업비,국가위탁사업현황,연금기금차입금,연금부담금,예산 현황,재정 집행",2026-08-04,"2,635건","2,381건",법령·콘텐츠·기타,검토대상,https://www.data.go.kr/data/15045863/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
40,15065018,사립학교교직원연금공단_퇴직연금일시금 지급 현황,"사립학교교직원의 퇴직연금일시급 지급 현황을 나타내고 있는 데이터로 직종(교원, 사무직원), 성별(남, 여), 건수, 금액 등의 항목으로 세분화하여 제공합니다.","직역연금,퇴직연금,일시금,퇴직연금일시금,지급현황,성별,직종별",2026-06-25,"3,443건","1,001건",퇴직·급여,검토대상,https://www.data.go.kr/data/15065018/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
41,15045825,사립학교교직원연금공단_재해보상기금 조성 현황,"사립학교교직원연금공단 재해보상기금 조성 현황과 관련된 데이터로 연도, 재해보상기금, 증가율 등의 항목을 연도별로 제공합니다.","재해보상,기금,증가율,자산관리,재정 안전성,재무현황,기금운영",2025-06-17,"3,701건","1,097건",대여·복지·재해보상,보조검토,https://www.data.go.kr/data/15045825/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
42,15045824,사립학교교직원연금공단_재해보상급여 지급 현황,"사립학교교직원연금공단 재해보상급여 지급 현황과 관련된 데이터로 연도, 재해보상급여, 증가율 등의 항목을 제공하며 연도말 기준의 데이터를 제공합니다.","재해보상,급여,증가율,복지지원,보상제도,연금운영",2025-06-17,"3,517건","1,116건",대여·복지·재해보상,보조검토,https://www.data.go.kr/data/15045824/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
43,15065013,사립학교교직원연금공단_연도별 연금기금 조성현황,"사립학교교직원연금기금은 [사립학교교직원연금법]에 의거하여 급여에 충당하기 위한 책임준비금으로서 설치되었으며, 공단의 예산에 계상된 적립금과 결산상 잉여금 및 기금운용 수익금으로 조성되고","연금,재해보상기금,국립대퇴직수당,연금기금,국립대학법인퇴직수당기금,책임준비금,적립금,기금운용 수익금",2026-07-09,"3,190건",892건,기금·투자·재무,검토대상,https://www.data.go.kr/data/15065013/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
44,15065054,사립학교교직원연금공단_연도별 교직원 퇴직현황,"사립학교교직원의 연도별, 학교급별, 직종별 퇴직 현황을 나타내고 있는 데이터로 연도, 당해연도, 교직원(교원, 사무직원), 성별(남, 여), 학교급별(유치원, 초등학교, 중학교, 고등학교","연도별,교직원,퇴직현황,퇴직사유,성별,학교급별,인구 통계",2026-07-08,"4,011건","1,117건",퇴직·급여,검토대상,https://www.data.go.kr/data/15065054/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
45,15064938,사립학교교직원연금공단_구매현황리스트,"사립학교교직원연금공단 구매현황리스트와 관련된 데이터로 공단이 체결한 계약의 계약명, 업체명, 금액(천원), 계약시작일자, 계약방법, 담당부서 항목의 데이터 상세내역을 연간 단위로 갱신하여","구매현황,리스트,계약,구매내역,취득금액,잔존가액,내용연수",2026-07-08,"3,038건",995건,기관운영·ESG,보조검토,https://www.data.go.kr/data/15064938/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
46,15081302,사립학교교직원연금공단_평균연금월액 지급 현황,사립학교교직원연금공단 평균연금월액 지급 현황 데이터는 연금 수급자에게 지급한 평균 연금월액을 정리한 통계자료입니다.,"평균연금월액,연금,지급,연금유형별,학교급별,성별통계",2026-07-08,"2,996건","1,107건",연금수급자,검토대상,https://www.data.go.kr/data/15081302/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
47,15045819,사립학교교직원연금공단_사학연금수급자 현황(장해연금수급자),사립학교교직원연금공단 사학연금수급자 현황 (장해연금수급자) 데이터는 연금수급자 중 장해연금을 받는 수급자들의 수를 재직기간별(21년미만 ~ 33년 이상) 연령(42세 미만~77세 이상,"직역연금,연금수급자,장해연금수급자,장해연금,연령별통계,재직기간별 통계",2026-07-08,"3,225건","1,001건",연금수급자,검토대상,https://www.data.go.kr/data/15045819/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
48,15081258,사립학교교직원연금공단_연도별 합산이자율 현황,"직역연금(사학, 군인, 공무원) 재직기간 합산 시 활용되는 합산 이자율과 관련된 데이터입니다.","이자율,인상률,상승률,직역연금,합산,보수인상율",2026-07-09,"4,454건",988건,법령·콘텐츠·기타,보조검토,https://www.data.go.kr/data/15081258/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
49,15045879,사립학교교직원연금공단_보유회관 상세위치,"사립학교교직원연금공단이 소유한 보유회관의 상세 위치와 관련된 데이터로 회관명, 주소, 연락처와 대중교통 이용 시 오시는 길을 지하철, 버스, 기차, 공항으로 개별적인 데이터를 포함하고","보유회관,연락처,교통편,대중교통,주소,상세위치,지리정보,길안내",2026-07-15,"3,116건","1,082건",기관운영·ESG,보조검토,https://www.data.go.kr/data/15045879/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
50,15045822,사립학교교직원연금공단_국고학자금대여 현황(학교급별),"사립학교교직원연금공단 국고학자금대여 현황(학교급별) 자료로 기준연도, 대여금액 건수, 대여금액 등을 나타냅니다.","생활자금대여,국고학자금대여,학자금대여사업,학교급,대여금 현황",2026-07-08,"2,921건","1,007건",대여·복지·재해보상,보조검토,https://www.data.go.kr/data/15045822/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
