검색순위,데이터ID,데이터명,설명,키워드,수정일,조회수,다운로드,대분류,현재연구관련성,공식URL,공식존재여부,제공기관판정,데이터명판정,설명판정,키워드판정,수정일판정,종합검증판정,검증일,검증비고
162,15102547,사립학교교직원연금공단_고객 상담 채널별 업무처리 현황,"이 데이터를 통해 공단의 고객 서비스 운영 실태를 투명하게 공개하고, 서비스 효율성 및 고객 만족도 향상 방안을 모색할 수 있습니다.","고객,상담,채널,고객민원,VOC,상담 통계,고객서비스",2026-07-08,941건,394건,고객·디지털·VOC,검토대상,https://www.data.go.kr/data/15102547/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
163,15130529,사립학교교직원연금공단_보유회관 에너지 사용현황,"사립학교교직원연금공단이 소유한 보유회관(나주회관)의 에너지원별(전기, 열(스팀), 수도, 태양광발전) 사용 현황과 보유회관의 연도별 연료구분(전기, 열, 수도, 태양광)을 단위별로","에너지사용량,회관,연료구분,에너지원,사용현황,전기,태양광발전",2026-08-05,687건,205건,기관운영·ESG,보조검토,https://www.data.go.kr/data/15130529/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
164,15112995,사립학교교직원연금공단_임의적용 및 사이버대학 현황,"사립학교교직원 연금법 임의적용 기관 및 연금법 적용 사이버대학 현황과 관련된 자료로 학교급(유치원, 초등학교, 중학교, 고등학교, 전문대학, 대학교, 법인, 특수학교), 기관번호,","임의적용,사이버,대학,법적용,교육 기관,연금 대상",2026-07-08,586건,274건,법령·콘텐츠·기타,보조검토,https://www.data.go.kr/data/15112995/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
165,15119325,사립학교교직원연금공단_분할연금 혼인월수별 연금분할액,"사립학교교직원의 분할연금 재직기간 중 혼인기간에 해당하는 혼인인정월수별 연금분할액을 나타내고 있는 문서 처리 연도, 처리일, 혼인인정월수, 법원 분할율(배우자) 등을 제공합니다.","분할,혼인월수,연금분할액,혼인인정월수,분할연금,재산분할",2026-07-08,655건,316건,연금수급자,보조검토,https://www.data.go.kr/data/15119325/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
166,15131715,사립학교교직원연금공단_년도별재보지급현황,"사립학교교직원연금공단 년도별재보지급현황 관련된 데이터로 기준년도, 구분, 급여종류, 지급건수, 교직원수, 금액 항목을 제공합니다.","년도,재해보상,급여종류,보상금,급여현황,재해유형,복지혜택",2025-06-16,556건,213건,법령·콘텐츠·기타,보조검토,https://www.data.go.kr/data/15131715/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
167,15131724,사립학교교직원연금공단_생활자금대여예산집행현황,"사립학교교직원연금공단 연간 생활자금대여 예산 집행 현황과 관련된 데이터로 기준년도, 기준월, 실지급일수, 일일평균지급액, 월간지급액, 예산잔액의 데이터를 제공합니다.","생활자금대여,예산,집행현황,실지급일수,기준년도",2026-07-09,556건,223건,대여·복지·재해보상,보조검토,https://www.data.go.kr/data/15131724/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
168,15131722,사립학교교직원연금공단_지역별_연금수급자_인원현황(퇴직기관),사립학교교직원연금공단 지역별 연금수급자 인원현황(퇴직기관 주소 기준) 데이터는 연금수급자의 퇴직 당시 소속되어 있던 교육기관의 위치를 기준으로 연금수급자 수를 제공하는 통계자료입니다,"지역,수급자,급여종류,퇴직교직원,시도별 현황,지역별 통계",2026-07-08,577건,224건,퇴직·급여,검토대상,https://www.data.go.kr/data/15131722/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
169,15124513,사립학교교직원연금공단_VOC 상위 5개 민원별 월별 발생 건수,'사립학교교직원연금공단 VOC 상위 5개 민원별 발생건수 데이터는 고객의 주요 요구사항을 파악하여 서비스 개선에 활용하기 위하여 고객의소리(VOC) 시스템을 통하여 수집하고 있습니다,"VOC,민원,상위,고객의소리,소통창구,발생건수,불편사항,고객의견",2025-08-18,733건,168건,고객·디지털·VOC,검토대상,https://www.data.go.kr/data/15124513/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
170,15156914,사립학교교직원연금공단_사학연금 30년사,사학연금30년사는 사립학교교직원연금관리공단의 설립부터 2004년까지 (1974~2004)30년간 연금제도의 도입·정착·확대 과정과 기관운영성과를 연혁중심으로 정리한기록물입니다.,"직역연금,공적연금,공단운영,조직변천,통계정보,연금운영",2026-07-07,622건,50건,법령·콘텐츠·기타,보조검토,https://www.data.go.kr/data/15156914/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
171,15156912,사립학교교직원연금공단_사학연금 40년사,사립학교교직원연금공단(사학연금)이 창립 40주년을 기념하여 발간한 '사학연금 40년사'는 1974년 공단 설립부터 2014년까지의 발전 과정을 집대성한 기록물입니다.,"역사,공단역사,통계자료,조직변천,시대역사,연금정보,연금운영",2026-07-07,555건,41건,법령·콘텐츠·기타,보조검토,https://www.data.go.kr/data/15156912/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
172,15143478,사립학교교직원연금공단_사학연금 유치원 신규가입자 연도별 지역별 현황,"유치원 교직원의 신규가입자현황을 나타내고 있는 데이터로 연도별, 지역별(서울, 경기, 인천, 강원, 충남, 충북, 대전,세종,광주,대구, 경북,부산, 울산, 경남, 전남, 전북, 제주","교원,직원,유치원,신규임용,재임용,지역,연도",2025-05-21,867건,78건,가입·재직·기관,보조검토,https://www.data.go.kr/data/15143478/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
173,15131717,사립학교교직원연금공단_학교급별 재직기간현황(교원),"사립학교교직원의 학교급별 재직기간현황(교원)과 관련된 데이터로 기준년도, 학교급별(유치원, 초등학교, 중학교, 고등학교, 전문학교, 대학, 특수학교) 재직기간(1년미만~35년 미만","학교급,재직기간,교원,연금수급권자,근무기간",2026-07-09,651건,172건,가입·재직·기관,보조검토,https://www.data.go.kr/data/15131717/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
174,15131719,사립학교교직원연금공단_직종별 재직기간현황(직원),"사립학교직원연금공단 직종별 재직기간현황(직원) 관련된 기준년도, 재직기간, 일반직, 기술직, 기능직, 고용직, 조교 항목을 제공합니다.","직종,사학연금,재직기간,교직원,직종구분",2026-07-08,622건,224건,가입·재직·기관,보조검토,https://www.data.go.kr/data/15131719/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
175,15131718,사립학교교직원연금공단_학교급별 재직기간현황(직원),"사립학교교직원의 학교급별 재직기간현황(직원)과 관련된 데이터로 기준년도, 학교급별(유치원, 초등학교, 중학교, 고등학교, 전문학교, 대학, 특수학교) 재직기간(1년미만~35년 미만","직종,직원,재직기간,학교급,연금수급권자,근무기간",2026-07-09,577건,225건,가입·재직·기관,보조검토,https://www.data.go.kr/data/15131718/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
176,15131721,사립학교교직원연금공단_학교급별지역별퇴직사유별 퇴직자 현황(직원),"사학연금 가입 직원의 학교급별(유치원, 초등학교, 중학교, 고등학교, 전문대학, 대학(교), 대학병원, 특수학교, 법인 등), 지역별(강원, 경기, 경남, 경북, 광주, 대구, 대전","학교급,직원,퇴직사유,퇴직 현황,지역별 분포,학교 유형",2026-08-04,598건,208건,퇴직·급여,검토대상,https://www.data.go.kr/data/15131721/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
